Bodega,Año,Vino_ID,Vino,Rating,Nº_reseñas,Precio,Región
Baigorri,2020,97070,Rioja Rosado 2020,3.6,34,7.9,Rioja
Oliveda,2020,2204541,Ullones 2020,4.0,47,6.8,Empordà
Can Ràfols dels Caus,2006,1253426,Gran Caus Rosat 2006,4.3,25,22.95,Penedès
Vivanco,2012,1766451,Tempranillo - Garnacha Rioja Rosado 2012,3.3,117,6.5,Rioja
Mesta,2019,2342434,Tempranillo Rosé 2019,3.5,701,7.89,Uclés
Cara Nord,2019,5610941,Conca de Barberà Trepat Rosat 2019,3.7,116,10.5,Conca de Barberà
Las Campanas,2020,1983693,Garnacha Rosé 2020,3.5,81,3.3,Navarra
Baigorri,2018,97070,Rioja Rosado 2018,3.4,44,11.83,Rioja
Viña Pomal,2019,4695160,Garnacha - Viura Rosé 2019,3.8,27,8.95,Rioja
Los Aguilares,2020,1556886,Rosado 2020,4.0,53,12.95,Sierras de Málaga
Bodegas Franco-Españolas,2021,1100361,Diamante Semi-Dulce Rosado 2021,3.6,44,7.95,Rioja
Bodegas Franco-Españolas,2021,1100361,Diamante Semi-Dulce Rosado 2021,3.6,44,7.95,Rioja
Familia Torres,2016,4096075,Viña Esmeralda Rosado 2016,4.0,722,7.14,Cataluña
Can Sumoi,2020,6141269,La Rosa 2020,4.0,413,7.54,Penedès
Raimat,2017,2474095,Clamor Rosado 2017,3.6,89,7.9,Costers del Segre
Dominio de Eguren,2020,9398,Protocolo Rosado 2020,3.4,78,4.1,Castilla
Pasión,2020,6176162,Bobal Rosé 2020,3.7,82,7.09039,Utiel-Requena
Chivite,2020,3527928,Las Fincas Rosado 2020,3.8,429,8.95,Navarra
Homenaje,2021,6332788,Garnacha Rosado 2021,3.4,46,5.95,Navarra
Cepa 21,2020,2626263,Hito Rosado 2020,3.8,117,9.0,Ribera del Duero
R. López de Heredia,2012,9122,Gran Reserva Rosado 2012,4.3,104,74.95,Rioja Alta
Familia Torres,2019,2634,De Casta Rosado 2019,3.4,315,2.44,Cataluña
Osborne,2020,2621008,Solaz Rosado 2020,3.1,33,3.86,Castilla
Born Rosé Barcelona,2020,7199750,Born Rosé 2020,3.9,166,13.12,Cataluña
R. López de Heredia,2010,9122,Gran Reserva Rosado 2010,4.4,652,40.0,Rioja Alta
Ramón Bilbao,2016,4581119,LaLomba Rosado 2016,3.8,126,39.5,Rioja
Arínzano,2019,7274981,A de Arinzano Rosé 2019,3.7,31,14.5,Navarra
Raimat,2017,3131531,Rosada Cabernet Sauvignon -  Tempranillo 2017,3.6,192,4.95,Cataluña
Lar de Maía,2017,4500123,8º Rosado 2017,3.3,82,9.95,Castilla y León
Bodegas Valdemar,2011,1815410,Conde de Valdemar Rosado 2011,3.9,63,5.0,Rioja
Casa Cesilia,2014,1153721,Cesilia Rose 2014,3.6,28,7.551666666666667,Alicante
Avancia,2013,1610888,Mencia Rosé 2013,3.5,44,11.35,Valdeorras
VALENCISO,2019,2717000,Rioja Rose 2019,4.0,48,13.0,Rioja
Juvé & Camps,2017,2486090,Aurora D'Espiells Rosé 2017,3.4,94,10.15,Penedès
Vivanco,2019,1766451,Tempranillo - Garnacha Rioja Rosado 2019,3.8,103,4.94,Rioja
Pardas,2018,1223851,Sumoll Rosado 2018,3.2,34,10.5,Penedès
Oller del Mas,2016,2310563,Bernat Oller Rosat 2016,3.8,42,9.7,Pla de Bages
Bodegas Valdemar,2012,1815410,Conde de Valdemar Rosado 2012,3.3,53,5.9,Rioja
Bodegas Franco-Españolas,2020,1100360,Rioja Bordón Rosado 2020,4.0,59,3.93,Rioja
Llopart,2019,5509556,'La Vida Secreta de les Plantes' Carmi Rosat 2019,3.6,34,9.5,Penedès
Dominio del Águila,2016,5009547,Pícaro del Águila Clarete 2016,4.0,166,71.9,Ribera del Duero
Pradorey,2019,1424841,Rosado 2019,3.7,89,4.95,Ribera del Duero
Sierra Cantabria,2019,3293066,Rosado 2019,3.8,43,12.77397912425031,Rioja
Pere Seda,2018,4934585,Novell Rosat 2018,3.2,81,5.99,Plà i Llevant
Mortitx,2021,1757312,Flaires 2021,3.6,32,12.99,Mallorca
Can Axartell,2019,4626739,Rosado 2019,4.2,185,12.7,Mallorca
Irache,2010,1283873,Rosado 2010,3.0,35,3.9,Navarra
Martín Faixó,2017,4626402,Perafita Rosat 2017,4.0,43,7.66,Empordà
Bodegas Piqueras,2021,7149577,El Picoteo Rosado 2021,3.6,32,6.9,Almansa
Nicte,2015,1852450,Prieto Picudo Rosado 2015,3.9,68,9.5,Castilla y León
Pradorey,2019,1635226,Lia 2019,3.7,126,5.85,Ribera del Duero
Hermanos Lurton,2019,5599189,Valentin Rosé 2019,3.5,36,13.95,Rueda
Ramón Bilbao,2017,4581119,LaLomba Rosado 2017,3.9,263,32.0,Rioja
Espelt,2019,1177912,Coralí 2019,3.6,51,7.11,Empordà
Abadal,2019,90064,Rosat 2019,3.6,28,7.42,Pla de Bages
Bodegas Martín Códax,N.V.,3951990,Alma Atlántica Mencía Rosé N.V.,3.8,544,4.94,Rías Baixas
Bodega Otazu,2020,1173650,Otazu Merlot Rosado 2020,3.8,78,5.9,Navarra
Sumarroca,2020,3849727,Posidonia Rosé 2020,3.3,41,5.56,Penedès
Antídoto,2016,3508744,Roselito 2016,3.7,100,10.87,Ribera del Duero
Llopart,2020,5509556,'La Vida Secreta de les Plantes' Carmi Rosat 2020,3.9,38,7.8,Penedès
Cellers d'en Guilla,2019,6333828,Vinya del Metge Garnatxa Roja 2019,3.8,30,7.04,Empordà
Bodegas Martín Códax,N.V.,3951990,Alma Atlántica Mencía Rosé N.V.,3.8,544,4.94,Rías Baixas
Pradorey,2019,1635226,Lia 2019,3.7,126,5.85,Ribera del Duero
Raimat,2020,2474095,Clamor Rosado 2020,3.7,92,3.4,Costers del Segre
Juvé & Camps,2018,2486090,Aurora D'Espiells Rosé 2018,3.6,120,17.85,Penedès
Adianto,2021,6400972,Rosado 2021,3.2,26,8.95,Cariñena
Inurrieta,2021,2443822,Mediodía Rosado 2021,3.6,64,4.3,Navarra
Izadi,2018,2211676,Rioja Larrosa 2018,3.8,507,6.19,Rioja
Mesta,2021,2342434,Tempranillo Rosé 2021,3.4,42,5.95,Uclés
Castaño,2020,85754,Monastrell Rosado 2020,3.5,27,6.95,Yecla
Marqués de Cáceres,2020,1189910,Rioja Rosado 2020,3.6,575,4.95,Rioja
Los Aguilares,2021,1556886,Rosado 2021,3.9,26,11.2,Sierras de Málaga
Muga,2020,5513425,Flor de Muga Rosado 2020,4.1,202,23.17,Rioja
Volver,2014,2529769,Tarima Rosado 2014,3.3,61,4.845,Alicante
Muga,2017,7490,Muga Rosado 2017,3.7,905,16.17424694869104,Rioja
Familia Torres,2020,4096075,Viña Esmeralda Rosado 2020,3.9,181,7.94,Cataluña
Linea Kármán,2020,9611976,Clarete 2020,3.9,34,5.95,Rioja
Celler de Capçanes,2020,1658874,Mas Donis Rosat Montsant 2020,3.5,94,7.5,Montsant
Protos,2020,5803518,Aire de Protos 2020,3.8,195,9.32,Cigales
Dominio del Águila,2018,5009547,Pícaro del Águila Clarete 2018,4.1,105,23.9,Ribera del Duero
Muga,2020,7490,Muga Rosado 2020,3.8,876,7.3,Rioja
Familia Torres,2019,4096075,Viña Esmeralda Rosado 2019,3.8,326,6.89,Cataluña
Venus la Universal,2018,5479963,Dido La Solució Rosa 2018,4.2,389,18.335,Montsant
Dominio del Águila,2013,5009547,Pícaro del Águila Clarete 2013,3.9,27,81.5,Ribera del Duero
Bach,2020,1212630,Viña Extrísima Rosado 2020,3.6,140,2.98,Cataluña
Bodegas Castelo de Medina,2019,1611355,Castelo Rosé 2019,3.5,87,5.62,Castilla y León
Bach,2020,1212630,Viña Extrísima Rosado 2020,3.6,140,2.98,Cataluña
Bodegas Castelo de Medina,2019,1611355,Castelo Rosé 2019,3.5,87,5.62,Castilla y León
Portal del Montsant,2017,100020,Brunus Rosé 2017,3.7,34,11.55,Montsant
Alta Alella,2018,1373492,Parvus Rosé 2018,3.8,27,7.35,Alella
Es Fangar,2012,1717332,Twenty Twelve Pink 2012,3.7,110,350.0,Plà i Llevant
Reina de Castilla,2020,1251551,Isabelino Rosado 2020,3.8,31,4.95,Rueda
Viña Zorzal,2019,3409201,Garnacha Rosé 2019,3.6,107,6.21,Navarra
Hispano Suizas,2020,3228374,Impromptu Rosé 2020,4.0,31,19.99,Valencia
Oller del Mas,2019,2310563,Bernat Oller Rosat 2019,3.6,72,10.45,Pla de Bages
Oller del Mas,2018,2310563,Bernat Oller Rosat 2018,3.7,29,15.5,Pla de Bages
Mas Comtal,2018,1786164,Rosat de Llàgrima 2018,3.4,38,6.32,Penedès
Buil & Giné,2017,85504,Giné Rosat 2017,3.6,27,13.5,Priorato
