Bodega,Año,Vino_ID,Vino,Rating,Nº_reseñas,Precio,Región
Viña Pomal,2015,1126218,Centenario Crianza 2015,3.6,1029,4.95,Rioja
Pata Negra,2018,1232212,Valdepeñas Roble 2018,3.3,99,4.95,Valdepeñas
Nuviana,2020,1635972,Tempranillo - Cabernet Sauvignon 2020,3.7,173,4.95,Valle del Cinca
Viña Pomal,2018,1126216,Crianza 2018,3.7,544,4.95,Rioja
Sierra Cantabria,2019,1986382,Murmurón 2019,3.7,30,4.94,Rioja
Bajoz,2020,2586566,Tinta de Toro 2020,3.4,175,3.5,Toro
Bodegas Olarra,2011,1470685,Añares Crianza Rioja 2011,3.3,479,4.3,Rioja
Pinord,2016,1228657,Penedès Crianza Tempranillo Viña Chatel 2016,3.5,68,4.5,Penedès
Heredad de Baroja,2018,1442518,Tinto 2018,3.6,111,3.79,Rioja
Pata Negra,2018,1232212,Valdepeñas Roble 2018,3.3,99,4.95,Valdepeñas
Bodegas Príncipe de Viana,2019,1570095,Colección Monovarietales Syrah Roble 2019,3.3,41,3.95,Navarra
Bajoz,2020,2034024,Caño Tempranillo - Garnacha Toro 2020,3.5,249,3.35,Toro
Ca N'Estella,2018,1446183,Clot Dels Oms Petit Tinto 2018,3.4,71,3.94,Penedès
Bodegas Victorianas,2010,1142014,Monterio Tempranillo 2010,3.1,66,2.0,La Mancha
Pinord,2016,1228657,Penedès Crianza Tempranillo Viña Chatel 2016,3.5,68,4.5,Penedès
Heredad de Baroja,2018,1442518,Tinto 2018,3.6,111,3.79,Rioja
Oliveda,2019,1505960,Clos Primat Negre 2019,3.3,89,3.12,Empordà
Oriol Rossell,2019,2292261,Xino-Xano Tinto 2019,3.4,223,4.91,Penedès
Finca Valpiedra,2016,74424,Rioja Cantos de Valpiedra 2016,3.6,666,4.95,Rioja
Viñas del Vero,2019,23477,Roble Cabernet Sauvignon - Merlot Somontano 2019,3.5,612,4.41,Somontano
Ayuso,2017,1138136,Estola Reserva 2017,3.7,344,4.5,La Mancha
Borsao Bodegas,2018,1136710,Tinto (Selección / Garnacha) 2018,3.5,840,3.9,Campo de Borja
René Barbier,2019,1283889,Roble 2019,3.0,114,4.75,Cataluña
Bodegas Aragonesas,2017,1825919,Coto De Hayas Crianza 2017,3.7,165,4.95,Campo de Borja
Briego,2020,2064350,Vendimia Seleccionada 2020,4.1,51,4.95,Ribera del Duero
Federico Paternina,2017,13190,Banda Azul Crianza 2017,3.5,3038,4.25,Rioja
Federico Paternina,2018,13190,Banda Azul Crianza 2018,3.5,1870,4.94,Rioja
Pagos de Aráiz,2020,2449553,Joven 2020,3.3,52,3.5,Navarra
Casa del Valle,2018,1323279,Syrah 2018,3.7,45,4.95,Castilla
Bodegas Cosme Palacio,2017,5545219,Glorioso Selección Especial 100 Años Aniversario 2017,3.9,982,4.95,Rioja
Bodegas Casa Primicia,2018,1879376,Carravalseca Crianza 2018,4.1,61,4.95,Rioja
Hacienda Albae,2017,2801731,Cabernet Sauvignon 2017,3.7,31,4.95,La Mancha
Bodegas Olarra,2018,1367561,Cerro Añon Crianza Rioja 2018,4.0,502,4.95,Rioja
Botas de Barro,2018,5300375,Tempranillo Ribera del Duero 2018,3.7,35,4.95,Ribera del Duero
Bodegas Aragonesas,2018,1825919,Coto De Hayas Crianza 2018,3.8,197,5.03,Campo de Borja
De Muller,2020,1403986,Solimar Tinto 2020,3.7,48,5.1,Tarragona
Bodega Pirineos,2017,73344,Montesierra Crianza 2017,3.6,58,5.1,Somontano
