Clase,Bodega,Año,Vino_ID,Vino,Rating,Nº_reseñas,Precio,Región,Categoría,Sello_calidad
Tinto,Los Hermanos Manzanos,2018,2216555,Crianza 2018,3.8,65,4.99,Rioja,Crianza,Denominación de Origen
Tinto,Freixenet,2020,1252649,Mia Tinto 2020,3.5,204,4.99,Castilla y León,Roble,Sin denominación
Tinto,Vall Sanzo,2014,6328303,Reserva 2014,3.9,82,4.95,Ribera del Duero,Reserva,Denominación de Origen
Tinto,Nubori,2016,1884489,Crianza 2016,3.7,118,4.95,Rioja,Crianza,Denominación de Origen
Tinto,Pata Negra,2017,7492547,Crianza Tempranillo 2017,3.5,721,4.95,Rioja,Crianza,Denominación de Origen
Tinto,Pinord,2016,1363602,Penedés Merlot Diorama 2016,3.6,25,4.95,Penedès,Reserva,Denominación de Origen
Tinto,Dominio de la Vega,2017,4057760,Paraje Tornel Bobal 2017,4.1,105,4.95,Utiel-Requena,Crianza,Denominación de Origen
Tinto,Vidauba,2016,1426186,Picot 'N Negre 2016,3.7,27,4.95,Plà i Llevant,Reserva,Denominación de Origen
Tinto,Calabuig,2019,1200368,Bobal Old Vines 2019,3.3,46,2.8,Valencia,Roble,Denominación de Origen
Tinto,Barahonda,2014,1172227,Carro 2014,3.7,3756,4.576666666666667,Yecla,Gran Reserva,Denominación de Origen
Tinto,Bodegas Valdemar,2012,1206948,Valdemoreda Tempranillo 2012,3.2,267,4.75,Rioja,Gran Reserva,Denominación de Origen
Tinto,Condado Real,2015,1139314,Tempranillo 2015,3.6,258,3.63,Castilla y León,Reserva,Sin denominación
Tinto,Obanca,2012,3764453,Castro de Limés 2012,3.7,38,4.95,Asturias,Gran Reserva,Sin denominación
Tinto,Orowines,2018,2034003,Comoloco Monastrell 2018,3.6,515,4.95,Jumilla,Crianza,Denominación de Origen
Tinto,Domeco de Jarauta,2018,1197384,Lar de Sotomayor Rioja 2018,3.7,41,4.95,Rioja,Crianza,Denominación de Origen
Tinto,Puente de Rus,2018,1705514,Tempranillo Crianza 2018,4.0,35,4.22,La Mancha,Crianza,Denominación de Origen
Tinto,Gran Feudo,2015,12305,Crianza 2015,3.5,165,4.98,Navarra,Crianza,Denominación de Origen
Tinto,Vizar,2020,4767369,Tempranillo 2020,3.5,112,3.96,Castilla y León,Roble,Sin denominación
Tinto,Hacienda Calavia,2017,1817467,Crianza 2017,4.0,78,4.94,Rioja,Crianza,Denominación de Origen
Tinto,Bodegas Aradon,2017,1500052,Tinto 2017,3.7,107,4.95,Rioja,Crianza,Denominación de Origen
Tinto,Bach,2018,1255221,Viña Extrísima Tinto 2018,3.4,241,2.98,Cataluña,Crianza,Denominación de Origen
Tinto,Bodega Pirineos,2020,2696722,Montesierra Red Blend 2020,3.4,120,4.95,Somontano,Roble,Denominación de Origen
Tinto,Nuviana,2019,80092,Veranza Tinto 2019,3.2,99,4.95,Valle del Cinca,Roble,Sin denominación
Tinto,Altavins,2020,1241735,Almodí Petit Tinto 2020,3.7,39,4.9,Terra Alta,Roble,Denominación de Origen
Tinto,Bodegas Yuntero,2019,1394525,Tempranillo - Syrah 2019,3.5,26,4.95,La Mancha,Roble,Denominación de Origen
Tinto,Pinord,2015,1549673,Penedés Crianza Tempranillo Taanug 2015,2.7,39,4.95,Penedès,Crianza,Denominación de Origen
Tinto,Luzon,2016,6007664,Colección Crianza 2016,3.9,135,4.95,Jumilla,Crianza,Denominación de Origen
Tinto,Juan de Juanes,2019,1817000,Vendimia Plata Petit Verdot 2019,3.6,116,4.95,Valencia,Roble,Denominación de Origen
Tinto,Bruno Murciano,2016,1213431,La Malkerida Bobal 2016,3.4,123,4.95,Utiel-Requena,Reserva,Denominación de Origen
Tinto,Montalvo Wilmot,2018,1987400,Syrah Roble 2018,3.7,43,4.95,Castilla,Roble,Sin denominación
Tinto,Bodegas Lagunilla,2016,1129460,Crianza 2016,3.3,445,4.95,Rioja,Crianza,Denominación de Origen
Tinto,Bodegas Lixar,2010,2662946,Reserva 2010,3.4,27,4.5,Rioja,Reserva,Denominación de Origen
Tinto,Vinos Sanz,2017,3907111,La Capital Roble 2017,3.5,71,4.95,Madrid,Roble,Denominación de Origen
Tinto,Ceremonia,2013,76604,Reserva Limited Edition 2013,3.4,44,4.95,Utiel-Requena,Reserva,Denominación de Origen
Tinto,Bodegas del Muni,2018,1556204,Corpus del Muni Roble 2018,3.4,50,4.95,Castilla,Roble,Sin denominación
Tinto,Armas de Guerra,2016,2054577,Mencía 2016,3.5,503,4.95,Bierzo,Reserva,Denominación de Origen
Tinto,Félix Solís,2017,1823360,Viña Albali Reserva 2017,3.5,408,4.1,Valdepeñas,Reserva,Denominación de Origen
Tinto,Enate,2017,1158423,Tapas Tempranillo 2017,3.4,242,4.85,Somontano,Crianza,Denominación de Origen
Tinto,Beso de Vino,2017,3316211,Syrah - Garnacha 2017,3.5,365,4.35,Cariñena,Crianza,Denominación de Origen
Tinto,Sant Josep,2019,2659312,Clot d'Encis Vi Negre 2019,2.9,56,2.5,Terra Alta,Roble,Denominación de Origen
Tinto,Bodegas Franco-Españolas,2009,1100348,Rioja Bordón Crianza 2009,3.5,654,3.79,Rioja,Crianza,Denominación de Origen
Tinto,Lar de Paula,2014,1290734,Crianza 2014,3.9,447,4.82,Rioja,Crianza,Denominación de Origen
Tinto,Inurrieta,2016,1139506,Norte Roble 2016,3.8,234,4.95,Navarra,Roble,Denominación de Origen
Tinto,Bodegas Aragonesas,2018,1239615,Solo Syrah Tirio 2018,3.6,219,4.5,Campo de Borja,Crianza,Denominación de Origen
Tinto,Borsao Bodegas,2014,1136710,Tinto (Selección / Garnacha) 2014,3.4,2483,4.0,Campo de Borja,Gran Reserva,Denominación de Origen
Tinto,Atalaya,2016,1193347,Laya 2016,3.5,2461,4.95,Almansa,Reserva,Denominación de Origen
Tinto,Vinos Divertidos,2018,2625462,Ojo de Liebre 2018,3.4,28,4.95,Somontano,Crianza,Denominación de Origen
Tinto,Faustino Rivero Ulecia,2020,2142966,Rioja Tempranillo N.V.,3.2,2282,3.75,Rioja,Roble,Denominación de Origen
Tinto,Dominio de Eguren,2020,1207654,Protocolo Tinto 2020,3.6,115,3.9,Castilla,Roble,Sin denominación
Tinto,Bodegas Faustino,2006,2027,Faustino de Autor Reserva Especial 2006,4.0,291,4.94,Rioja,Reserva,Denominación de Origen
Tinto,Hacienda Albae,2018,5463135,Malbec 2018,3.6,34,4.95,La Mancha,Crianza,Denominación de Origen
Tinto,Hermanos Lurton,2018,1178776,Tempranillo 2018,3.7,326,4.94,Toro,Crianza,Denominación de Origen
Tinto,Mesta,2020,2469050,Tempranillo 2020,3.5,664,4.5,Uclés,Roble,Denominación de Origen
Tinto,El Angosto,2020,7493580,La Tribuna 2020,3.6,33,4.65,Valencia,Roble,Denominación de Origen
Tinto,Beronia,2017,20796,Rioja Crianza 2017,3.7,1793,4.94,Rioja,Crianza,Denominación de Origen
Tinto,Borsao Bodegas,2020,1216711,Barrica (Selección) 2020,3.6,132,4.6,Campo de Borja,Roble,Denominación de Origen
Tinto,Neleman,2020,2743977,Organic Tempranillo - Monastrell 2020,3.6,703,4.7,Valencia,Roble,Denominación de Origen
Tinto,Finca La Estacada,2016,3123972,Hello World Petit Verdot 2016,3.4,399,4.95,Castilla,Reserva,Sin denominación
Tinto,Juan Gil,2019,1134571,Jumilla Yellow Label 2019,3.8,1898,4.79,Jumilla,Roble,Denominación de Origen
Tinto,Borsao Bodegas,2019,1136710,Tinto (Selección / Garnacha) 2019,3.6,1308,3.68,Campo de Borja,Roble,Denominación de Origen
Tinto,Honoro Vera,2019,1196853,Garnacha 2019,3.8,2480,4.63,Calatayud,Roble,Denominación de Origen
Tinto,Venta Morales,2015,1126424,Tempranillo 2015,3.3,505,4.95,Castilla y León,Reserva,Sin denominación
Tinto,Finca Collado,2016,3279759,Delit Plaer de Monastrell 2016,3.7,87,4.9,Valencia,Reserva,Denominación de Origen
Tinto,La Veguilla,2019,1665435,Roble 2019,3.4,50,4.94,Ribera del Duero,Roble,Denominación de Origen
Tinto,Balmoral,2017,3750245,Maravides 12 Meses 2017,3.9,195,4.95,Castilla,Crianza,Sin denominación
Tinto,Séptimo Sentido,2019,3780395,Tempranillo 2019,3.6,924,3.7,Castelló,Roble,Sin denominación
Tinto,Los Frailes,2013,1231340,Efe Monastrell 2013,3.3,153,3.7516666666666665,Valencia,Gran Reserva,Denominación de Origen
