Bodega,Año,Vino_ID,Vino,Rating,Nº_reseñas,Precio,Región
Contino,1995,1225001,Reserva 1995,4.3,46,94.9,Rioja
Marqués de Murrieta,2011,1175180,Gran Reserva Rioja (Finca Ygay) 2011,4.3,1146,94.95,Rioja
Nin-Ortiz,2018,1289986,Nit de Nin Mas d'en Caçador 2018,4.2,25,94.95,Priorato
Bodegas Mauro,2015,1126965,Terreus Paraje de Cueva Baja 2015,4.6,325,94.95,Castilla y León
Dominio de Atauta,2010,1664071,Llanos del Almendro Ribera del Duero 2010,4.3,49,95.0,Ribera del Duero
Artadi,2015,1983726,La Poza de Ballesteros 2015,4.4,174,95.9,Vino de España
Morca,2018,5937785,Touran 2018,4.7,59,96.95,Campo de Borja
Sierra Cantabria,2019,3293391,Finca el Bosque 2019,4.5,51,97.84,Rioja
Bodegas Asenjo & Manso,2010,1472745,A&M Crianza Ribera del Duero 2010,4.2,124,98.0,Ribera del Duero
Castillo Perelada,2014,99351,Finca Garbet 2014,4.6,78,99.0,Empordà
Marqués de Murrieta,2004,1324170,Dalmau Rioja 2004,4.5,154,99.0,Rioja
Álvaro Palacios,2017,67084,Finca Dofí 2017,4.3,645,99.9,Priorato
Vivaltus,2016,9594951,Tinto 2016,4.4,113,99.99,Ribera del Duero
Espectacle del Montsant,2018,1171308,Tinto 2018,4.4,63,102.0,Montsant
Artadi,2017,1983726,La Poza de Ballesteros 2017,4.2,34,102.9,Vino de España
Descendientes de J. Palacios,2017,2438243,Valdafoz Bierzo (Corullón) 2017,4.2,34,103.67,Bierzo
Artadi,2016,1983726,La Poza de Ballesteros 2016,4.4,70,104.0,Vino de España
Artadi,2014,1983726,La Poza de Ballesteros 2014,4.4,123,104.0,Vino de España
Baigorri,2014,4120596,Rioja B70 2014,4.3,60,104.5,Rioja
Viña Sastre,2014,736555,Regina Vides Ribera del Duero 2014,4.5,202,104.9,Ribera del Duero
Marques de Vargas,2015,4497892,Hacienda Pradolagar 2015,4.4,1438,105.12,Rioja
Vinícola Real,2004,1148997,Confesor Rioja 2004,4.5,43,107.5,Rioja
