Bodega,Año,Vino_ID,Vino,Rating,Nº_reseñas,Precio,Región
Arzuaga,2020,8383829,Pago Mota Chardonnay 2020,3.6,52,6.75,Vino de España
Espelt,2019,96023,Vailet 2019,3.4,46,6.75,Empordà
Vivanco,2021,1250389,Rioja Blanco 2021,3.6,31,6.75,Rioja
Legaris,2021,1145681,Rueda Verdejo 2021,3.7,224,6.75,Rueda
Atance,2018,7447258,Cuvée No 1 2018,3.5,74,6.79,Valencia
Bodega de Bardos,2021,6560205,Rueda Verdejo 2021,4.0,331,6.79,Rueda
Ca N'Estella,2020,1753593,Clot Dels Oms Blanco 2020,3.5,42,6.8,Penedès
Luzon,2020,6088347,Colección Blanco 2020,3.9,144,6.8,Jumilla
Martí Fabra,2021,1268277,Verd Albera Empordà 2021,4.1,80,6.8,Empordà
Celler Credo,2020,8399763,And The Winner Is... 2020,3.6,154,6.8,Cataluña
Viñas del Vero,2021,2049511,Chardonnay Somontano 2021,3.7,151,6.84,Somontano
Nivarius,2021,4934795,Tempranillo Blanco 2021,3.9,75,6.85,Rioja
Monopole,2020,1219539,Blanco 2020,3.3,52,6.85,Rioja
Cherubino Valsangiacomo,2021,1602320,El Novio Perfecto 2021,4.0,63,6.87,Valencia
Alta Alella,2021,2308869,Pansa Blanca 2021,3.8,99,6.88,Alella
Viña Albina,2020,8538869,Verdejo 2020,3.4,68,6.9,Rueda
Albet i Noya,2019,79860,Petit Albet Penedès Blanc 2019,3.4,82,6.9,Penedès
Beronia,2021,3200900,Rueda Verdejo 2021,3.7,154,6.9,Rueda
Herrero Bodega,2021,1541100,Erre de Herrero Verdejo 2021,3.7,39,6.9,Rueda
Finca Constancia,2020,1524062,Parcela 52 Verdejo 2020,3.8,62,6.9,Castilla
Palacio de Bornos,2021,1101153,Verdejo Fermentado en Barrica 2021,4.0,49,6.9,Rueda
Protos,2020,1135415,Verdejo 2020,3.8,1824,6.9,Rueda
Familia Torres,2020,1181510,Verdeo Verdejo 2020,3.6,579,6.9,Rueda
Palacio de Bornos,2021,1464339,La Caprichosa Verdejo 2021,4.0,110,6.9,Rueda
Marqués de Griñon,2021,4303484,Blanco (Verdejo) 2021,3.8,241,6.9,Rueda
Laudum,2021,1175314,Chardonnay Organic 2021,3.6,44,6.9,Alicante
Tamaral,2021,1176320,Verdejo Rueda 2021,3.8,30,6.9,Rueda
Hijos de Alberto Gutiérrez,2021,1747051,Verdejo Ecologico 2021,3.7,36,6.9,Rueda
Arzuaga,2018,8383829,Pago Mota Chardonnay 2018,3.7,65,6.95,Vino de España
Blume,2020,1370703,Sauvignon Blanc Rueda 2020,3.9,49,6.95,Rueda
Emendis,2021,7206819,Flos Sauvignon Blanc - Muscat 2021,3.8,44,6.95,Penedès
Albet i Noya,2020,79860,Petit Albet Penedès Blanc 2020,3.4,53,6.95,Penedès
Pinord,2019,3293817,Vaquos Verdejo 2019,3.8,30,6.95,Rueda
Hnos. del Villar,2021,1737396,Oro de Castilla Verdejo 2021,4.0,101,6.95,Rueda
Hnos. del Villar,2021,1737396,Oro de Castilla Verdejo 2021,4.0,101,6.95,Rueda
Angel Lorenzo Cachazo,2021,1277067,Martivilli Verdejo 2021,3.8,86,6.95,Rueda
Finca Bacara,2019,8391526,Sauvignon Blanc 2019,3.5,63,6.95,Jumilla
Beronia,2020,3200900,Rueda Verdejo 2020,3.7,406,6.95,Rueda
Blanco Nieva,2020,1868419,Sauvignon Blanc 2020,3.7,31,6.95,Rueda
Emendis,2020,7206819,Flos Sauvignon Blanc - Muscat 2020,3.8,93,6.95,Penedès
Ontañón,2020,4293797,Vetiver Verdejo 2020,3.9,67,6.95,Rueda
Beronia,2021,1517255,Rioja Viura 2021,3.7,25,6.95,Rioja
Marqués de la Concordia,2020,1223704,Vega de La Reina Verdejo 2020,3.8,242,6.95,Rueda
Finca Montepedroso,2020,1220731,Rueda Verdejo 2020,3.9,280,6.95,Rueda
L'Olivera,2021,1360696,Blanc de Serè 2021,3.9,35,6.95,Costers del Segre
Bodegas Castelo de Medina,2021,1098967,Castelo de Medina Verdejo 2021,3.9,208,6.95,Rueda
Raimat,2021,1275476,Castell de Raimat Chardonnay 2021,3.8,254,6.98,Costers del Segre
Pago Casa Gran,2021,5089788,Falcata Blanco 2021,4.3,120,6.99,Valencia
Marqués de la Concordia,2021,1223704,Vega de La Reina Verdejo 2021,3.9,191,6.99,Rueda
Campillo,2021,1213351,Fermentado en Barrica Blanco 2021,3.7,42,6.99,Rioja
Bodegas Castelo de Medina,2021,1098966,Castelo de Medina Sauvignon Blanc 2021,4.0,122,6.99,Rueda
