Bodega,Año,Vino_ID,Vino,Rating,Nº_reseñas,Precio,Región
Rimarts,2018,1233173,Cava Reserva 24 Brut Nature 2018,3.7,90,11.31,Cava
AA Privat,2018,5795247,Reserva Brut Nature Chardonnay 2018,3.4,32,11.33,Cava
Raimat,N.V.,7815644,El Cim del Turó Reserva Brut Nature N.V.,3.7,178,11.36,Cava
Raimat,N.V.,7634159,Lo Fred de Ponent Brut Reserva N.V.,3.8,191,11.36,Cava
Bohigas,N.V.,1381108,Reserva Cava Brut Nature N.V.,3.7,943,11.4,Cava
Freixenet,N.V.,5985802,Elyssia Gran Cuvée De Prestige Brut N.V.,3.7,4350,11.43,Cava
Elvi,N.V.,1378310,Cava Brut N.V.,3.0,32,11.5,Cava
VallDolina,2017,1242110,Cava Tutusaus Gran Reserva Brut Nature 2017,3.8,101,11.5,Cava
Sumarroca,N.V.,1824722,Cava Insitu Extra Brut Reserva N.V.,3.5,237,11.5,Cava
Casa Mariol,N.V.,1547405,Cava Brut Nature 14 Mesos N.V.,3.6,105,11.5,Cataluña
L'Origan,2019,1261545,Aire de L'Origan Brut Nature Cava 2019,3.7,25,11.6,Cava
Cavas Hill,2015,6427389,Cava Cuvée Panot Gran Reserva 2015,3.5,27,11.68,Cava
Pinord,2016,13082,Cava Gran Reserva Brut Nature Millésime Marrugat 2016,3.8,48,11.75,Cava
DG Viticultors,2013,6266447,Brut Rosé 2013,4.0,34,11.9,Penedès
Heretat Mas Tinell,2011,1869021,Cava Reserva Brut Real 2011,4.0,94,11.9,Cava
Parxet,N.V.,2554483,Cava Brut N.V.,3.6,1401,11.95,Cava
Can Sumoi,2021,6398474,Ancestral Montonega 2021,3.8,32,12.04,Cataluña
AT Roca,2019,2322197,Rosat Reserva Brut 2019,3.8,43,12.1,Penedès
Freixenet,2011,1984165,Cava Cuvée De Prestige Malvasia 2011,3.9,176,12.12,Cava
Albet i Noya,2018,5614564,Efecte Classic Penedès Brut Reserva 2018,3.9,85,12.2,Penedès
Can Sumoi,2018,6398474,Ancestral Montonega 2018,3.8,288,12.2,Cataluña
Avinyó,N.V.,3982185,Cava Sublim Brut Rosé N.V.,3.9,35,12.26,Cava
Bodegas Ochoa,2021,50504,8A Moscato de Ochoa de Aguja Frizzante 2021,4.1,28,12.27,Navarra
Colet,N.V.,2293476,Tradicional N.V.,3.7,451,12.4,Penedès
Colet,2017,3593166,Vatua! Clàssic 2017,4.0,67,12.4,Penedès
Muga,2018,2696113,Conde de Haro Brut 2018,3.9,67,12.42,Cava
Llopart,N.V.,1157828,Cava Nèctar Terrenal Semi Dolç N.V.,3.8,231,12.6,Cava
Agusti Torello Mata,2015,1174061,Cava Reserva Brut 2015,3.7,494,12.6,Cava
Raventós i Blanc,2020,1748985,Blanc de Blancs Brut 2020,3.8,167,12.71,Penedès
Guillem Carol - Cellers Carol Vallès,2017,2230912,Cava Gran Reserva Brut Nature 2017,3.9,59,12.9,Cava
Torelló,2016,8454320,Corpinnat Brut Reserva 2016,3.8,116,12.9,Cava
Parxet,2018,1193683,Cava Brut Nature 2018,3.8,223,12.95,Cava
Juvé & Camps,2017,2572685,Reserva Essential Xarel-lo 2017,3.7,26,12.95,Cava
Barbadillo,2017,7240954,Toto Barbadillo Espumoso de Albariza 2017,3.8,84,12.98,Andalucía
Maria Rigol Ordi,2018,4067030,Cava Rosat Reserva 2018,3.6,46,13.0,Cataluña
Conde de Valicourt,N.V.,1706563,Cava Pas de Sucre Gran Reserva 4 Años Brut Nature N.V.,3.8,94,13.0,Cava
Julia Bernet,2019,7304664,Corpinnat Brut Nature 2019,3.9,27,13.17,Cataluña
Clos Lentiscus,2017,1784087,Rosé Brut Nature 2017,4.1,102,13.2,Penedès
Parxet,N.V.,2345663,Cava Brut Rosé N.V.,3.6,45,13.37,Cava
Llopart,2017,1157823,Cava Brut Nature Reserva 2017,3.9,90,13.44,Cava
Titiana,2017,1236714,Brut Rosé 2017,3.7,82,13.45,Cava
Casa Rojo,N.V.,3833665,Moltó Negre Cava Brut N.V.,3.7,906,13.49,Cava
L'Origan,2015,4990729,Aire de L'Origan Brut Nature Cava Rosé 2015,3.7,27,13.5,Cava
Villa Conchi,N.V.,1753000,Cava Brut Reserva N.V.,3.7,243,13.5,Cava
Gramona,2015,1448379,Frisant De Gel Gewürztraminer 2015,3.8,49,13.5,Cava
Llopart,2018,1157823,Cava Brut Nature Reserva 2018,3.9,56,13.54,Cava
Mas Bertran,2012,6636934,La Graua 2012,3.8,31,13.6,Penedès
Parxet,2015,76638,Cava Cuvée 21 Brut 2015,3.5,181,13.6,Cava
Castell Sant Antoni,N.V.,5950633,Cava Jazz Brut Nature N.V.,3.8,342,13.6,Cava
Rimarts,2017,2906169,Cava Gran Reserva 40 Brut Nature 2017,4.0,91,13.85,Cava
Gramona,2016,4422728,Cava La Cuvee Gran Reserva 2016,4.1,32,13.85,Cava
Gramona,2017,7508035,La Cuvée Corpinnat 2017,4.0,190,13.89,Cava
Vilarnau,N.V.,2523434,Cava Brut Reserva Rosé N.V.,3.5,629,13.9,Cava
Muga,N.V.,2696113,Conde de Haro Brut N.V.,4.0,12783,13.9,Cava
Bodegas Langa,N.V.,5131000,Cava Reyes de Aragón Reserva Brut Nature N.V.,3.6,61,13.95,Calatayud
Gramona,2018,7508035,La Cuvée Corpinnat 2018,3.8,52,13.95,Cava
Llopart,2018,1157820,Cava Integral Brut Nature 2018,3.8,45,13.95,Cava
Can Sumoi,2018,6398502,Ancestral Sumoll 2018,3.8,207,13.95,Cataluña
Rovellats,2015,1472382,Cava Gran Reserva Brut Nature 2015,4.0,46,14.1,Cava
Llopart,2019,1157820,Cava Integral Brut Nature 2019,3.9,25,14.18,Cava
Gramona,2020,1448379,Frisant De Gel Gewürztraminer 2020,4.2,35,14.25,Cava
Castellroig,2016,7319800,Sabaté i Coca Mosset Corpinnat Brut Nature 2016,3.8,122,14.45,Cava
Titiana,2015,2104093,Brut Nature 2015,3.6,25,14.47,Cava
Signat,N.V.,1756938,Cava Brut Reserva N.V.,3.5,40,14.5,Cava
Freixenet,2016,1250617,Cava Meritum Gran Reserva 2016,3.7,50,14.5,Cava
Segura Viudas,2015,1847533,Torre Galimany Gran Reserva 2015,3.7,38,14.5,Cava
AT Roca,2021,7445848,Anima Mundi Camí dels Xops 2021,4.1,49,14.5,Penedès
Oriol Rossell,2016,6332557,Cava Mitic 1908 Gran Reserva Brut Nature 2016,3.8,40,14.5,Cava
Huguet de Can Feixes,2014,7314675,Corpinnat Brut Nature 2014,4.0,61,14.55,Penedès
Parxet,N.V.,1195933,Cava Reserva Semi-Seco N.V.,3.7,154,14.7,Cava
Castillo Perelada,2016,1366324,Cava Brut Nature Reserva Gran Claustro 2016,3.9,215,14.7,Cava
Guilera,2014,6719500,Cava Xarel-la Gran Reserva Brut 2014,4.0,25,14.75,Cava
Jané Ventura,2014,1433897,Reserva Especial Vintage Brut Nature 2014,3.5,25,14.85,Cava
Bodegas Bilbaínas,2018,7808417,Lumen Brut 2018,3.9,55,14.9,Rioja
Marqués de la Concordia,2013,5691073,Gran Reserva Brut Nature 2013,3.9,196,14.9,Cava
Marqués de Gelida,2017,2451669,Cava Mim Natura Brut Reserva 2017,3.4,148,14.9,Cava
Berdié,2013,1649279,Cava Gran Rupestre 2013,4.2,25,14.9,Cava
